j;x_half;P;y;eps
0;0.0250000000;0.078698724483;0.078459095728;2.396288e-04
1;0.0750000000;0.233676857704;0.233445363856;2.314938e-04
2;0.1250000000;0.382901091159;0.382683432365;2.176588e-04
3;0.1750000000;0.522697028973;0.522498564716;1.984643e-04
4;0.2250000000;0.649622431203;0.649448048330;1.743829e-04
5;0.2750000000;0.760551973203;0.760405965600;1.460076e-04
6;0.3250000000;0.852754201495;0.852640164354;1.140371e-04
7;0.3750000000;0.923958791218;0.923879532511;7.925871e-05
8;0.4250000000;0.972412449057;0.972369920398;4.252866e-05
9;0.4750000000;0.996922085149;0.996917333733;4.751416e-06
10;0.5250000000;0.996884190909;0.996917333733;-3.314282e-05
11;0.5750000000;0.972299699421;0.972369920398;-7.022098e-05
12;0.6250000000;0.923773962455;0.923879532511;-1.055701e-04
13;0.6750000000;0.852501844704;0.852640164354;-1.383197e-04
14;0.7250000000;0.760238302244;0.760405965600;-1.676634e-04
15;0.7750000000;0.649255169697;0.649448048330;-1.928786e-04
16;0.8250000000;0.522285220117;0.522498564716;-2.133446e-04
17;0.8750000000;0.382454875054;0.382683432365;-2.285573e-04
18;0.9250000000;0.233207221671;0.233445363856;-2.381422e-04
19;0.9750000000;0.078698724483;0.078459095728;2.396288e-04
